,0
0,1483.0
1,1502.0
2,1510.0
3,1497.0
4,1479.0
5,1533.0
6,1526.0
7,1479.0
8,1492.0
9,1511.0
10,1518.0
11,1517.0
12,1507.0
13,1514.0
14,1517.0
15,1508.0
16,1489.0
17,1533.0
18,1520.0
19,1505.0
20,1519.0
21,1510.0
22,1526.0
23,1512.0
24,1504.0
25,1514.0
26,1515.0
27,1503.0
28,1523.0
29,1523.0
30,1509.0
31,1505.0
32,1512.0
33,1450.0
34,1520.0
35,1517.0
36,1525.0
37,1489.0
38,1530.0
39,1495.0
40,1511.0
41,1499.0
42,1512.0
43,1502.0
44,1508.0
45,1507.0
46,1489.0
47,1504.0
48,1515.0
49,1506.0
50,1516.0
51,1525.0
52,1502.0
53,1519.0
54,1506.0
55,1514.0
56,1488.0
57,1505.0
58,1515.0
59,1509.0
60,1515.0
61,1519.0
62,1518.0
63,1521.0
64,1502.0
65,1510.0
66,1526.0
67,1507.0
68,1502.0
69,1511.0
70,1516.0
71,1519.0
72,1508.0
73,1518.0
74,1495.0
75,1502.0
76,1509.0
77,1529.0
78,1513.0
79,1513.0
80,1484.0
81,1525.0
82,1518.0
83,1518.0
84,1516.0
85,1518.0
86,1520.0
87,1511.0
88,1510.0
89,1523.0
90,1521.0
91,1518.0
92,1502.0
93,1517.0
94,1519.0
95,1502.0
96,1527.0
97,1498.0
98,1518.0
99,1508.0
100,1498.0
101,1528.0
102,1521.0
103,1494.0
104,1516.0
105,1527.0
106,1525.0
107,1530.0
108,1516.0
109,1527.0
110,1518.0
111,1505.0
112,1518.0
113,1499.0
114,1507.0
115,1500.0
116,1459.0
117,1515.0
118,1525.0
119,1484.0
120,1527.0
121,1523.0
122,1511.0
123,1504.0
124,1514.0
125,1525.0
126,1529.0
127,1509.0
128,1508.0
129,1515.0
130,1512.0
131,1518.0
132,1509.0
133,1518.0
134,1508.0
135,1479.0
136,1505.0
137,1515.0
138,1519.0
139,1512.0
140,1520.0
141,1515.0
142,1506.0
143,1513.0
144,1509.0
145,1513.0
146,1480.0
147,1521.0
148,1497.0
149,1508.0
150,1514.0
151,1472.0
152,1522.0
153,1517.0
154,1521.0
155,1519.0
156,1494.0
157,1534.0
158,1516.0
159,1513.0
160,1513.0
161,1511.0
162,1502.0
163,1507.0
164,1516.0
165,1480.0
166,1490.0
167,1512.0
168,1485.0
169,1521.0
170,1524.0
171,1520.0
172,1524.0
173,1518.0
174,1513.0
175,1491.0
176,1510.0
177,1514.0
178,1516.0
179,1527.0
180,1527.0
181,1525.0
182,1514.0
