,0
674,1523.0
675,1511.0
676,1525.0
677,1530.0
678,1512.0
679,1515.0
680,1516.0
681,1515.0
682,1510.0
683,1514.0
684,1493.0
685,1519.0
686,1513.0
687,1513.0
688,1520.0
689,1517.0
690,1520.0
691,1511.0
692,1519.0
693,1514.0
694,1478.0
695,1480.0
696,1495.0
697,1526.0
698,1522.0
699,1515.0
700,1511.0
701,1511.0
702,1517.0
703,1521.0
704,1499.0
705,1519.0
706,1519.0
707,1504.0
708,1514.0
709,1499.0
710,1518.0
711,1497.0
712,1490.0
713,1486.0
714,1516.0
715,1509.0
716,1500.0
717,1526.0
718,1510.0
719,1517.0
720,1516.0
721,1511.0
722,1508.0
723,1521.0
724,1513.0
725,1535.0
726,1488.0
727,1519.0
728,1499.0
729,1523.0
730,1514.0
731,1499.0
732,1532.0
733,1505.0
734,1512.0
735,1508.0
736,1485.0
737,1516.0
738,1522.0
739,1523.0
740,1508.0
741,1522.0
742,1508.0
743,1522.0
744,1510.0
745,1506.0
746,1504.0
747,1529.0
748,1515.0
749,1487.0
750,1510.0
751,1513.0
752,1517.0
753,1499.0
754,1485.0
755,1520.0
756,1525.0
757,1531.0
758,1515.0
759,1510.0
760,1502.0
761,1517.0
762,1489.0
763,1489.0
764,1510.0
765,1510.0
766,1514.0
767,1498.0
768,1484.0
769,1525.0
770,1485.0
771,1507.0
772,1496.0
773,1512.0
774,1519.0
775,1511.0
776,1510.0
777,1527.0
778,1501.0
779,1527.0
780,1512.0
781,1503.0
782,1505.0
783,1500.0
784,1502.0
785,1511.0
786,1497.0
787,1502.0
788,1504.0
789,1520.0
790,1525.0
791,1523.0
792,1502.0
793,1515.0
794,1504.0
795,1506.0
796,1512.0
797,1527.0
798,1529.0
799,1508.0
800,1505.0
801,1486.0
802,1475.0
803,1512.0
804,1514.0
805,1528.0
806,1526.0
807,1515.0
808,1510.0
809,1513.0
810,1518.0
811,1524.0
812,1509.0
813,1512.0
814,1517.0
815,1521.0
816,1515.0
817,1511.0
818,1512.0
819,1520.0
820,1528.0
821,1500.0
822,1522.0
823,1504.0
824,1518.0
825,1497.0
826,1476.0
827,1513.0
828,1510.0
829,1512.0
830,1498.0
831,1507.0
832,1501.0
833,1517.0
834,1514.0
835,1522.0
836,1517.0
837,1515.0
838,1495.0
839,1502.0
840,1521.0
841,1511.0
842,1513.0
843,1513.0
844,1512.0
845,1499.0
846,1527.0
847,1492.0
848,1503.0
849,1514.0
850,1518.0
851,1512.0
852,1518.0
853,1511.0
854,1525.0
855,1497.0
856,1510.0
857,1482.0
858,1528.0
859,1511.0
860,1496.0
861,1509.0
862,1524.0
863,1512.0
864,1507.0
865,1527.0
866,1530.0
867,1516.0
868,1506.0
869,1520.0
870,1515.0
871,1533.0
872,1490.0
873,1511.0
874,1513.0
875,1450.0
876,1527.0
877,1513.0
878,1523.0
879,1489.0
880,1521.0
881,1498.0
882,1520.0
883,1514.0
884,1509.0
885,1512.0
886,1492.0
887,1515.0
888,1513.0
889,1523.0
890,1485.0
891,1514.0
892,1505.0
893,1523.0
894,1515.0
895,1514.0
896,1481.0
897,1510.0
898,1512.0
899,1523.0
900,1514.0
901,1526.0
902,1511.0
903,1502.0
904,1513.0
905,1521.0
906,1515.0
907,1526.0
908,1514.0
909,1514.0
910,1502.0
911,1512.0
912,1509.0
913,1517.0
914,1520.0
915,1491.0
916,1541.0
917,1526.0
918,1514.0
919,1473.0
920,1520.0
921,1526.0
922,1524.0
923,1509.0
924,1499.0
925,1523.0
926,1527.0
927,1511.0
928,1511.0
929,1508.0
930,1511.0
931,1519.0
932,1527.0
933,1500.0
934,1499.0
935,1506.0
936,1505.0
937,1521.0
938,1524.0
939,1507.0
940,1496.0
941,1491.0
942,1457.0
943,1508.0
944,1512.0
945,1500.0
946,1528.0
947,1492.0
948,1499.0
949,1511.0
950,1521.0
951,1520.0
952,1508.0
953,1515.0
954,1513.0
955,1496.0
956,1517.0
957,1504.0
958,1531.0
959,1507.0
960,1512.0
961,1508.0
962,1493.0
963,1484.0
964,1498.0
965,1508.0
966,1521.0
967,1515.0
968,1513.0
969,1531.0
970,1525.0
971,1521.0
972,1498.0
973,1497.0
974,1519.0
975,1513.0
976,1520.0
977,1523.0
978,1522.0
979,1513.0
980,1499.0
981,1514.0
982,1520.0
983,1436.0
984,1520.0
985,1527.0
986,1505.0
987,1506.0
988,1506.0
989,1519.0
990,1515.0
991,1516.0
992,1522.0
993,1488.0
994,1512.0
995,1519.0
996,1504.0
997,1508.0
998,1486.0
999,1507.0
1000,1520.0
1001,1523.0
1002,1498.0
1003,1526.0
1004,1513.0
1005,1518.0
1006,1529.0
1007,1515.0
1008,1512.0
1009,1512.0
1010,1492.0
1011,1493.0
1012,1524.0
1013,1522.0
1014,1532.0
1015,1513.0
1016,1518.0
1017,1530.0
1018,1490.0
1019,1517.0
1020,1525.0
1021,1452.0
1022,1519.0
1023,1511.0
